SepalLength,SepalWidth,PetalLength,PetalWidth,Species
6.197371322,3.129633588,1.576943887,1.375344995,setosa
5.689388559,2.845967088,3.069032016,1.442513747,setosa
6.31815083,2.7292312,3.185928225,0.723982695,versicolor
7.018423885,3.244670516,2.496584096,1.362577588,versicolor
5.6126773,3.412399809,3.458071433,1.405150731,versicolor
5.612690434,3.372512048,4.306076285,0.699954007,virginica
7.063370252,2.664312991,6.529278852,2.506042158,setosa
6.413947783,2.87631505,3.961866719,1.531683045,virginica
5.424420491,3.132505373,4.086325586,0.366087552,versicolor
6.234048035,3.390218051,3.588331126,1.659587526,setosa
5.429265846,2.808330305,0.821843177,0.517722831,virginica
5.427416197,2.925736409,3.660229187,1.750959223,setosa
5.993569817,2.55746601,3.790345315,2.011016905,virginica
4.269375804,2.52151735,7.394863169,0.625522377,setosa
4.420065734,3.325010329,3.411458553,1.87436329,versicolor
5.350169977,3.542496011,4.152321014,1.488946649,versicolor
4.989735104,2.971195951,3.647932345,1.775442112,setosa
6.051397866,3.401413159,1.946982944,2.527755088,virginica
5.07358074,3.14465441,5.414234222,1.028228319,versicolor
4.670157039,2.741952098,4.827899549,0.672384685,versicolor
6.972519015,3.144558242,4.886547921,0.577339899,versicolor
5.61937896,3.615214627,2.335918818,0.628932801,setosa
5.854022564,2.985669584,5.804191466,1.146028803,setosa
4.660201451,3.625857462,1.597223406,1.438806382,virginica
5.36449382,1.952101958,4.580285641,1.39368356,virginica
5.888738072,3.328761002,6.985683439,1.779028274,virginica
4.879205138,3.034818827,2.214195512,1.209101324,setosa
6.100558415,2.88039706,2.850553406,2.217473854,setosa
5.319489048,3.036704311,3.849477048,1.014740217,virginica
5.566645,2.204972434,2.944786519,3.104118417,virginica
5.31863471,2.912131245,1.374004853,1.637967143,setosa
7.281822548,3.142845029,3.802844462,0.599989711,virginica
5.78920222,3.591157618,2.106544429,0.450375251,versicolor
4.953831257,2.792691913,4.410388646,1.537730691,setosa
6.45803593,2.676602559,2.320863649,1.04357605,virginica
4.82332508,2.799297183,6.024901608,1.699800346,setosa
5.967090876,3.366160847,2.525120061,1.531266337,versicolor
4.232263901,3.131500444,3.216907726,1.149019761,setosa
4.737451161,2.788095918,4.920275826,0.607244397,setosa
5.957488989,3.205306973,1.853703525,0.139606943,setosa
6.390773264,3.03883102,4.041189902,0.887439534,setosa
5.937094625,3.387457996,5.660714131,1.799479156,versicolor
5.707481374,2.719178762,1.288775148,1.349865621,setosa
5.559117044,2.868935141,3.976950788,0.327982855,setosa
4.617182408,2.843156739,4.089824191,1.321226648,virginica
5.224124633,2.414594021,4.872734308,1.469722166,setosa
5.431488983,3.118448111,1.844573934,0.581299795,virginica
6.645697781,3.104422109,1.71931508,1.307607574,versicolor
6.074894632,3.002045383,4.482912348,1.240746103,versicolor
4.389567876,2.906165147,4.14547701,0.399920792,versicolor
0.5,1.5,0.79,3.4,virginica
2.0,0.9,1.3,2.0,virginica
2.0,1.0,2.1,0.8,virginica
0.22,1.15,4.5,2.3,virginica
7.0,2.5,4.0,2.3,setosa
0.5,1.1,0.9,1.5,virginica
2.15,0.9,1.2,1.8,virginica
0.8,1.1,0.5,0.89,virginica
0.5,1.2,0.9,0.75,virginica
0.5,1.4,2.6,1.0,virginica
4.2,2.1,0.9,1.1,virginica
0.8,2.3,1.8,0.99,virginica
0.9,1.5,2.0,1.1,virginica
0.9,1.5,0.55,0.3,virginica
0.1,0.6,0.5,0.2,virginica
5.5,3.0,5.0,1.8,setosa
5.9,3.4,5.7,1.2,versicolor
5.2,3.255,6.1,4.5,versicolor
5.1,3.5,3.9,4.3,versicolor
2.6,1.2,5.4,2.9,virginica
0.8,2.4,1.3,0.9,virginica
0.9,1.1,0.5,0.84,virginica
6.4,5.8,4.9,5.0,versicolor
1.5,3.4,2.2,1.8,virginica
0.5,1.0,0.59,0.99,virginica
3.5,2.9,4.9,5.4,virginica
3.5,1.9,4.9,2.1,virginica
5.3,2.3,4.9,4.9,virginica
5.3,2.3,4.9,4.9,virginica
6.1,4.5,3.8,4.6,virginica
6.1,4.5,3.8,4.6,virginica
3.0,5.0,2.7,4.3,virginica
3.0,5.0,2.7,4.3,virginica
3.0,5.0,2.7,4.3,virginica
3.0,5.0,2.7,4.3,virginica
6.2,4.1,3.4,5.8,virginica
6.4,2.9,3.1,5.77,virginica
1.7,0.99,0.8,2.1,virginica
1.1,0.9,0.88,1.0,virginica
2.6,1.8,2.1,5.1,virginica
4.2,3.0,2.5,3.8,virginica
0.8,1.2,0.5,1.9,virginica
3.1,2.8,4.1,2.9,virginica
3.2,4.1,2.9,3.7,virginica
2.6,2.0,2.5,3.0,virginica
2.1,1.9,2.0,0.9,virginica
2.0,0.9,0.9,1.2,virginica
0.5,0.9,1.2,0.59,virginica
6.8,5.0,4.8,6.0,versicolor
2.5,3.4,2.6,2.96,virginica
3.8,2.2,1.5,2.4,virginica
6.4,2.5,4.9,3.0,setosa
6.0,3.5,5.9,3.15,versicolor
5.8,3.4,5.0,3.25,versicolor
3.5,6.2,3.4,5.9,virginica
1.2,1.1,3.2,2.8,virginica
0.8,1.2,1.0,0.59,virginica
0.8,1.2,1.0,0.59,virginica
2.8,3.1,2.5,2.59,virginica
2.8,3.1,2.5,2.59,virginica
2.8,3.1,2.5,2.59,virginica
2.8,3.1,2.5,2.59,virginica
2.3,2.8,3.0,2.75,virginica
2.5,1.99,2.16,3.6,virginica
0.92,1.0,1.05,0.79,virginica
5.9,3.2,1.85,0.14,setosa
5.9,3.4,5.7,1.2,versicolor
6.1,3.0,4.5,1.2,versicolor
4.4,2.9,4.1,0.4,versicolor
4.8,2.8,6.0,1.7,setosa
