year,event,department,total_vot,num_wom_vot,num_men_vot,total_ena,num_wom_ena,num_men_ena
2010,Elección de autoridades departamentales y municipales,Chuquisaca,331212,169255,161957,272519,131841,140678
2010,Elección de autoridades departamentales y municipales,La Paz,1666173,843680,822493,1504038,727948,776090
2010,Elección de autoridades departamentales y municipales,Cochabamba,1033342,525346,507996,939903,457756,482147
2010,Elección de autoridades departamentales y municipales,Oruro,292228,148205,144023,253172,122389,130783
2010,Elección de autoridades departamentales y municipales,Potosí,457460,231340,226120,367149,175518,191631
2010,Elección de autoridades departamentales y municipales,Tarija,293996,146401,147595,264747,130132,134615
2010,Elección de autoridades departamentales y municipales,Santa Cruz,1527307,749308,777999,1225072,614228,610844
2010,Elección de autoridades departamentales y municipales,Beni,225585,107862,117723,189436,97081,92355
2010,Elección de autoridades departamentales y municipales,Pando,56754,24394,32360,43359,24649,18710
2011,Elección de autoridades del órgano judicial y del tribunal constitucional plurinacional,Chuquisaca,335972,171526,164446,283501,136908,146593
2011,Elección de autoridades del órgano judicial y del tribunal constitucional plurinacional,La Paz,1695049,858176,836873,1539906,742744,797162
2011,Elección de autoridades del órgano judicial y del tribunal constitucional plurinacional,Cochabamba,1056733,536785,519948,984267,479123,505144
2011,Elección de autoridades del órgano judicial y del tribunal constitucional plurinacional,Oruro,298017,151037,146980,263834,127309,136525
2011,Elección de autoridades del órgano judicial y del tribunal constitucional plurinacional,Potosí,464857,234456,230401,378291,180914,197377
2011,Elección de autoridades del órgano judicial y del tribunal constitucional plurinacional,Tarija,301918,150254,151664,277406,136776,140630
2011,Elección de autoridades del órgano judicial y del tribunal constitucional plurinacional,Santa Cruz,1577241,773084,804157,1272021,635486,636535
2011,Elección de autoridades del órgano judicial y del tribunal constitucional plurinacional,Beni,230530,110191,120339,197407,101121,96286
2011,Elección de autoridades del órgano judicial y del tribunal constitucional plurinacional,Pando,59767,25745,34022,46742,26561,20181
2013,Elecciones de gobernador o gobernadora en el departamento de Beni,Beni,240977,115056,125921,174548,88504,86044
2014,Elecciones generales,Chuquisaca,351221,179083,172138,323129,166812,156317
2014,Elecciones generales,La Paz,1769569,897766,871803,1678769,867459,811310
2014,Elecciones generales,Cochabamba,1128133,572314,555819,1128351,577881,550470
2014,Elecciones generales,Oruro,314453,159315,155138,293576,151595,141981
2014,Elecciones generales,Potosí,484367,243230,241137,409144,212785,196359
2014,Elecciones generales,Tarija,326356,162265,164091,323351,163666,159685
2014,Elecciones generales,Santa Cruz,1741187,851488,889699,1533638,771094,762544
2014,Elecciones generales,Beni,246982,117760,129222,223598,109971,113627
2014,Elecciones generales,Pando,69209,29978,39231,57596,25590,32006
2015,"Elección de autoridades políticas departamentales, regionales y municipales",Chuquisaca,356602,181776,174826,325099,168030,157069
2015,"Elección de autoridades políticas departamentales, regionales y municipales",La Paz,1792998,910776,882222,1700216,878264,821952
2015,"Elección de autoridades políticas departamentales, regionales y municipales",Cochabamba,1152239,584436,567803,1137624,583501,554123
2015,"Elección de autoridades políticas departamentales, regionales y municipales",Oruro,319960,162119,157841,297013,153475,143538
2015,"Elección de autoridades políticas departamentales, regionales y municipales",Potosí,490787,246281,244506,409194,213256,195938
2015,"Elección de autoridades políticas departamentales, regionales y municipales",Tarija,334326,166216,168110,327820,166026,161794
